Liczba wierzchołków	Gęstość	Czas(s)
10	0.25	3.2e-06
10	0.5	5.315e-06
10	1	4.792e-06
50	0.25	3.3499e-05
50	0.5	4.6505e-05
50	1	4.079e-05
100	0.25	8.5519e-05
100	0.5	0.000117566
100	1	0.000126018
200	0.25	0.000255324
200	0.5	0.000414707
200	1	0.000370178
500	0.25	0.00105117
500	0.5	0.0016687
500	1	0.00186587
