Liczba wierzchołków	Gęstość	Czas(s)
10	0.25	1.291e-06
10	0.5	2.402e-06
10	1	2.461e-06
50	0.25	1.6587e-05
50	0.5	2.7733e-05
50	1	2.8362e-05
100	0.25	5.446e-05
100	0.5	9.247e-05
100	1	0.000117194
200	0.25	0.000184565
200	0.5	0.000387174
200	1	0.000366092
500	0.25	0.00116323
500	0.5	0.0024575
500	1	0.00233653
