Liczba wierzchołków	Gęstość	Czas(s)
10	0.25	2.217e-06
10	0.5	3.962e-06
10	1	4.286e-06
50	0.25	4.0586e-05
50	0.5	6.3922e-05
50	1	6.8451e-05
100	0.25	0.000151096
100	0.5	0.000231075
100	1	0.000215015
200	0.25	0.000539335
200	0.5	0.000736781
200	1	0.000806705
500	0.25	0.00272195
500	0.5	0.00486919
500	1	0.00518762
